local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-45.94450947795571,-23.319847129486845,56.87,"[0, 1, 4, 6, 7, 11, 15, 18, 25, 31, 35, 36, 37, 41, 42, 45, 46, 50, 51, 54, 58, 60, 68, 76, 80, 89, 93, 97, 98]","[0, 1, 4, 6, 7, 9, 11, 15, 16, 18, 25, 28, 31, 32, 35, 36, 37, 39, 41, 42, 43, 45, 46, 50, 51, 54, 58, 60, 61, 62, 65, 67, 68, 71, 76, 79, 80, 87, 89, 90, 92, 93, 97, 98]"
1,-45.93845501529379,-23.304713653316114,98.95,"[0, 1, 6, 7, 11, 15, 16, 25, 31, 32, 35, 36, 42, 45, 50, 51, 54, 58, 60, 65, 67, 68, 76, 80, 89, 93, 98]","[0, 1, 4, 6, 7, 8, 11, 15, 16, 18, 25, 28, 31, 32, 35, 36, 37, 41, 42, 43, 45, 46, 50, 51, 54, 58, 60, 61, 65, 67, 68, 71, 76, 80, 87, 89, 90, 92, 93, 97, 98]"
2,-46.08719797264701,-23.254635003669897,67.0,"[2, 12, 22, 27, 48, 49, 55, 66, 77, 81, 83, 84, 85]","[2, 10, 12, 13, 17, 21, 22, 23, 24, 27, 29, 30, 34, 38, 44, 47, 48, 49, 52, 53, 55, 56, 57, 64, 66, 70, 72, 74, 75, 77, 81, 83, 84, 85, 94, 96]"
3,-46.052331184619796,-23.20207212374724,61.72,"[3, 5, 13, 14, 17, 19, 21, 24, 26, 30, 34, 40, 52, 53, 57, 59, 63, 72, 75, 91, 95, 99]","[3, 5, 10, 13, 14, 17, 19, 21, 23, 24, 26, 29, 30, 34, 38, 40, 44, 47, 49, 52, 53, 56, 57, 59, 63, 64, 66, 70, 72, 74, 75, 83, 91, 94, 95, 99]"
4,-45.9598752471029,-23.340641845424063,27.0,"[0, 4, 6, 15, 18, 28, 31, 35, 37, 39, 46, 51, 62, 71, 79, 80, 92, 93]","[0, 1, 4, 6, 7, 9, 11, 15, 18, 25, 28, 31, 35, 36, 37, 39, 41, 42, 45, 46, 50, 51, 54, 58, 60, 61, 62, 68, 71, 76, 78, 79, 80, 82, 87, 89, 90, 92, 93, 97]"
5,-46.05190481943962,-23.209124404771657,96.96,"[3, 5, 13, 14, 17, 19, 21, 24, 26, 30, 34, 40, 47, 52, 53, 56, 57, 59, 63, 64, 72, 75, 95, 99]","[3, 5, 10, 13, 14, 17, 19, 21, 23, 24, 26, 27, 29, 30, 34, 38, 40, 44, 47, 49, 52, 53, 56, 57, 59, 63, 64, 66, 70, 72, 73, 74, 75, 83, 85, 91, 94, 95, 96, 99]"
6,-45.95077558340258,-23.32121072487266,47.61,"[0, 1, 4, 6, 7, 11, 15, 18, 25, 31, 35, 36, 37, 41, 42, 45, 46, 50, 51, 54, 58, 60, 68, 71, 76, 80, 89, 92, 93, 97]","[0, 1, 4, 6, 7, 9, 11, 15, 16, 18, 25, 28, 31, 32, 35, 36, 37, 39, 41, 42, 43, 45, 46, 50, 51, 54, 58, 60, 61, 62, 65, 67, 68, 71, 76, 79, 80, 82, 87, 89, 90, 92, 93, 97, 98]"
7,-45.944022927611876,-23.311441706224915,24.8,"[0, 1, 6, 7, 11, 15, 25, 31, 35, 36, 37, 41, 42, 45, 46, 50, 51, 54, 58, 60, 65, 67, 68, 76, 80, 89, 93, 97, 98]","[0, 1, 4, 6, 7, 8, 9, 11, 15, 16, 18, 25, 28, 31, 32, 35, 36, 37, 39, 41, 42, 43, 45, 46, 50, 51, 54, 58, 60, 61, 62, 65, 67, 68, 71, 76, 80, 87, 89, 90, 92, 93, 97, 98]"
8,-45.94462572256491,-23.27256191491849,67.99,"[8, 16, 32, 65, 67]","[1, 7, 8, 11, 16, 25, 32, 36, 42, 43, 50, 54, 58, 60, 65, 67, 68, 76, 98]"
9,-45.98819592992464,-23.31866972974085,84.45,"[9, 18, 28, 39, 41, 43, 46, 58, 69, 71, 82, 87, 90, 92]","[0, 4, 6, 7, 9, 15, 16, 18, 20, 25, 28, 31, 35, 37, 39, 41, 42, 43, 46, 50, 51, 58, 60, 62, 67, 68, 69, 71, 76, 78, 79, 80, 82, 86, 87, 90, 92, 93]"
10,-46.052938607311916,-23.24267764092348,45.36,"[10, 13, 17, 22, 23, 30, 33, 34, 38, 49, 53, 56, 57, 64, 66, 70, 72, 73, 74, 75, 77, 83, 85, 88, 96]","[2, 3, 5, 10, 13, 14, 17, 19, 21, 22, 23, 24, 26, 27, 30, 33, 34, 38, 40, 44, 47, 49, 52, 53, 55, 56, 57, 59, 63, 64, 66, 70, 72, 73, 74, 75, 77, 81, 83, 84, 85, 88, 94, 95, 96, 99]"
11,-45.9365651865809,-23.31459832287356,79.41,"[0, 1, 6, 7, 11, 15, 25, 31, 35, 36, 37, 42, 45, 50, 51, 54, 58, 60, 65, 68, 76, 80, 89, 93, 97, 98]","[0, 1, 4, 6, 7, 8, 11, 15, 16, 18, 25, 28, 31, 32, 35, 36, 37, 41, 42, 43, 45, 46, 50, 51, 54, 58, 60, 61, 62, 65, 67, 68, 71, 76, 80, 87, 89, 90, 92, 93, 97, 98]"
12,-46.10433648783798,-23.264943587756523,73.76,"[2, 12, 48, 55, 81, 84]","[2, 12, 22, 27, 48, 49, 55, 66, 70, 77, 81, 83, 84, 85]"
13,-46.05747709547562,-23.22176086617037,1.46,"[3, 5, 10, 13, 14, 17, 19, 21, 23, 24, 26, 30, 34, 38, 40, 44, 47, 49, 52, 53, 56, 57, 59, 63, 64, 66, 70, 72, 74, 75, 83, 94, 95, 99]","[2, 3, 5, 10, 13, 14, 17, 19, 21, 22, 23, 24, 26, 27, 29, 30, 34, 38, 40, 44, 47, 49, 52, 53, 55, 56, 57, 59, 63, 64, 66, 70, 72, 73, 74, 75, 77, 81, 83, 85, 88, 91, 94, 95, 96, 99]"
