local_id,longitude,latitude,peso,pontos_cobertos_tipo_0,pontos_cobertos_tipo_1
0,-46.12281418538869,-23.313890714450952,43.27,"[0, 5, 9, 28, 34, 46]","[0, 5, 9, 10, 11, 23, 28, 34, 46]"
1,-45.87341209954531,-23.365081460190595,27.51,[1],"[1, 18, 24, 26, 36, 40, 44, 45]"
2,-45.88395447333644,-23.312310231229247,60.91,[2],"[2, 13, 18, 24, 41, 44, 47]"
3,-45.971393849892,-23.209707309368476,30.17,"[3, 12, 35, 43, 48]","[3, 12, 21, 25, 35, 43, 48]"
4,-45.857697955186666,-23.27137489232872,99.41,"[4, 38, 41, 47]","[4, 13, 17, 37, 38, 41, 42, 47]"
5,-46.12281418538869,-23.31207317298275,6.46,"[0, 5, 9, 28, 34, 46]","[0, 5, 9, 10, 11, 23, 28, 34, 46]"
6,-46.11927200396016,-23.38307488700041,18.3,"[6, 27, 33]","[6, 27, 33]"
7,-45.864168459193365,-23.208113363630908,58.23,"[7, 19]","[7, 17, 19, 29]"
8,-45.97853386649298,-23.35374920301303,39.43,"[8, 32]","[8, 32, 49]"
9,-46.10965529577285,-23.298612625011064,0.1,"[0, 5, 9, 10, 23, 28, 34, 46]","[0, 5, 9, 10, 11, 14, 23, 28, 34, 39, 46]"
10,-46.12281418538869,-23.278107674368563,40.42,"[9, 10, 23, 34, 46]","[0, 5, 9, 10, 14, 16, 23, 28, 34, 46]"
11,-46.07692363166257,-23.299452101914785,64.94,"[11, 39]","[0, 5, 9, 11, 14, 15, 22, 23, 28, 34, 39, 46]"
12,-45.98765679013898,-23.219461614295007,93.84,"[3, 12, 21, 25, 35, 43, 48]","[3, 12, 21, 25, 35, 43, 48]"
13,-45.84360786135845,-23.30212494154753,13.58,[13],"[2, 4, 13, 18, 24, 38, 41, 42, 44, 47]"
14,-46.09169804617958,-23.266460023097245,27.97,"[14, 16, 20, 30]","[9, 10, 11, 14, 16, 20, 23, 30, 34, 39, 46]"
15,-46.06980548552809,-23.330764820975173,14.9,"[15, 22]","[11, 15, 22, 28]"
16,-46.09771551813379,-23.242082289586545,38.06,"[14, 16, 20, 30]","[10, 14, 16, 20, 30]"
17,-45.84402118821718,-23.235309335784034,37.76,"[17, 37]","[4, 7, 17, 19, 29, 37, 38, 47]"
18,-45.845345049688575,-23.33802851489355,83.42,"[18, 24, 36, 44]","[1, 2, 13, 18, 24, 36, 40, 44]"
19,-45.842273485226556,-23.203040630785296,24.73,"[7, 19, 29]","[7, 17, 19, 29, 37]"
20,-46.08119304396577,-23.247488897068457,4.68,"[14, 16, 20, 30]","[14, 16, 20, 30, 39]"
21,-46.0116123163801,-23.210789786099355,89.39,"[12, 21, 25]","[3, 12, 21, 25, 35, 43, 48]"
22,-46.05467060542872,-23.32626977327461,60.83,"[15, 22]","[11, 15, 22, 39]"
23,-46.11082416689643,-23.287131530398526,6.12,"[9, 10, 23, 34, 46]","[0, 5, 9, 10, 11, 14, 23, 28, 34, 39, 46]"
24,-45.85178105303688,-23.339052359532307,97.99,"[18, 24, 36, 44]","[1, 2, 13, 18, 24, 36, 40, 44]"
25,-46.00753160976484,-23.21961512483721,65.26,"[12, 21, 25]","[3, 12, 21, 25, 35, 43, 48]"
26,-45.83438163363978,-23.387836596226936,37.27,"[26, 40]","[1, 26, 36, 40]"
27,-46.10094933938065,-23.389145585932415,65.72,"[6, 27, 33]","[6, 27, 33]"
28,-46.114505637894574,-23.3181000149829,60.81,"[0, 5, 9, 28, 46]","[0, 5, 9, 10, 11, 15, 23, 28, 34, 46]"
29,-45.825901940136454,-23.20207212374724,65.62,"[19, 29]","[7, 17, 19, 29, 37]"
30,-46.09283981883409,-23.239589292264647,34.14,"[14, 16, 20, 30]","[14, 16, 20, 30]"
