metodo,instancia,arquivo_instancia,caminho_instancia,n_pontos,clusters,desvio_cluster_km,semente,fo,tempo_s,iteracoes_fase1,iteracoes_fase2,melhor_fo_fase1,melhor_fo_fase2
DM-GRASP,100p_8c_desvio_1_0km,instancia_aleatoria_01_100p_8c_desvio_1_0km,instances\100p\8_clusters\desvio_1_0km\instancia_aleatoria_01_100p_8c_desvio_1_0km.csv,100,8,1.0,42,100.0000,4.2586,100,200,100.0000,100.0000
DM-GRASP,100p_8c_desvio_1_5km,instancia_aleatoria_02_100p_8c_desvio_1_5km,instances\100p\8_clusters\desvio_1_5km\instancia_aleatoria_02_100p_8c_desvio_1_5km.csv,100,8,1.5,42,98.0000,2.6730,100,200,98.0000,98.0000
DM-GRASP,100p_8c_desvio_2_0km,instancia_aleatoria_03_100p_8c_desvio_2_0km,instances\100p\8_clusters\desvio_2_0km\instancia_aleatoria_03_100p_8c_desvio_2_0km.csv,100,8,2.0,42,86.0000,2.0867,100,200,86.0000,86.0000
DM-GRASP,100p_8c_desvio_5_0km,instancia_aleatoria_04_100p_8c_desvio_5_0km,instances\100p\8_clusters\desvio_5_0km\instancia_aleatoria_04_100p_8c_desvio_5_0km.csv,100,8,5.0,42,56.0000,1.6410,100,200,56.0000,56.0000
DM-GRASP,100p_12c_desvio_1_0km,instancia_aleatoria_05_100p_12c_desvio_1_0km,instances\100p\12_clusters\desvio_1_0km\instancia_aleatoria_05_100p_12c_desvio_1_0km.csv,100,12,1.0,42,96.0000,2.9207,100,200,96.0000,96.0000
DM-GRASP,100p_12c_desvio_1_5km,instancia_aleatoria_06_100p_12c_desvio_1_5km,instances\100p\12_clusters\desvio_1_5km\instancia_aleatoria_06_100p_12c_desvio_1_5km.csv,100,12,1.5,42,95.0000,2.6661,100,200,95.0000,95.0000
DM-GRASP,100p_12c_desvio_2_0km,instancia_aleatoria_07_100p_12c_desvio_2_0km,instances\100p\12_clusters\desvio_2_0km\instancia_aleatoria_07_100p_12c_desvio_2_0km.csv,100,12,2.0,42,77.0000,1.8121,100,200,77.0000,77.0000
DM-GRASP,100p_12c_desvio_5_0km,instancia_aleatoria_08_100p_12c_desvio_5_0km,instances\100p\12_clusters\desvio_5_0km\instancia_aleatoria_08_100p_12c_desvio_5_0km.csv,100,12,5.0,42,59.0000,1.2631,100,200,59.0000,59.0000
DM-GRASP,100p_17c_desvio_1_0km,instancia_aleatoria_09_100p_17c_desvio_1_0km,instances\100p\17_clusters\desvio_1_0km\instancia_aleatoria_09_100p_17c_desvio_1_0km.csv,100,17,1.0,42,91.0000,2.3069,100,200,91.0000,91.0000
DM-GRASP,100p_17c_desvio_1_5km,instancia_aleatoria_10_100p_17c_desvio_1_5km,instances\100p\17_clusters\desvio_1_5km\instancia_aleatoria_10_100p_17c_desvio_1_5km.csv,100,17,1.5,42,84.0000,1.7158,100,200,84.0000,82.0000
DM-GRASP,100p_17c_desvio_2_0km,instancia_aleatoria_11_100p_17c_desvio_2_0km,instances\100p\17_clusters\desvio_2_0km\instancia_aleatoria_11_100p_17c_desvio_2_0km.csv,100,17,2.0,42,85.0000,2.1544,100,200,85.0000,84.0000
DM-GRASP,100p_17c_desvio_5_0km,instancia_aleatoria_12_100p_17c_desvio_5_0km,instances\100p\17_clusters\desvio_5_0km\instancia_aleatoria_12_100p_17c_desvio_5_0km.csv,100,17,5.0,42,62.0000,1.1761,100,200,62.0000,62.0000
DM-GRASP,100p_20c_desvio_1_0km,instancia_aleatoria_13_100p_20c_desvio_1_0km,instances\100p\20_clusters\desvio_1_0km\instancia_aleatoria_13_100p_20c_desvio_1_0km.csv,100,20,1.0,42,79.0000,2.1696,100,200,79.0000,79.0000
DM-GRASP,100p_20c_desvio_1_5km,instancia_aleatoria_14_100p_20c_desvio_1_5km,instances\100p\20_clusters\desvio_1_5km\instancia_aleatoria_14_100p_20c_desvio_1_5km.csv,100,20,1.5,42,75.0000,1.3309,100,200,75.0000,75.0000
